epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_stage0,grad_norm_fusion,grad_norm_head_level0,oom_skipped,grad_norm_backbone_stage3,steps_taken,grad_norm_head_level1,grad_norm_backbone_rgb_stem,grad_norm_backbone_nir_stem,grad_norm_neck,grad_norm_head_level2,grad_norm_backbone_stage2,grad_norm_backbone_stage1,nan_skipped,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
27,1,0.8795344122761005,0.4284782830525089,3.653354306478758,2.544869020921415,0.4221256040132294,18.353144204741646,0.0,2.0570779717412564,19.0,0.25245665409326123,0.8279872056432432,0.8346869875753363,1.0598152474736857,68.72801193225074,4.292120276144199,2.5117011494920733,0.0,0.31629767175763845,0.03630569338565692,0.6029657125473022,0.029629630967974663,0.06779657180886715,0.00481481496244669,0.7,0.4,0.7777777777777778,0.07407407407407407,0.7368421052631577,0.125,14,2,6,3,4,25
28,1,0.8086712912127778,0.4352109057677759,3.6684174505439966,2.5892710311019487,0.4160584944653259,16.47917522416698,0.0,1.9886291699453515,19.0,0.3452096491671288,0.7710583668877707,0.9407039876600718,1.0358333165033051,56.212646031051584,4.174443822407161,2.5589487292431388,0.0,0.5103988833725452,0.22467212844640017,0.9944444894790649,0.026353277266025543,0.43880294598639014,0.010541310906410218,0.32142857142857145,0.1875,1.0,0.1111111111111111,0.4864864864864865,0.13953488372093023,18,3,38,13,0,24
29,1,0.7718757467495428,0.443973090398956,3.715736037976033,2.7158543565762177,0.4273977122139112,14.23299816496147,0.0,2.1009532803543403,19.0,0.19616088901181722,0.7705932159631491,0.9914991732924542,1.166690330994513,56.159436565002125,4.10696387990921,2.5409696115284923,0.0,0.565292552113533,0.21016114970552735,0.9828042387962341,0.1477808654308319,0.3734797150362283,0.0468425843748264,0.5454545454545454,0.03571428571428571,1.0,0.4074074074074074,0.7058823529411764,0.06567164179104477,18,11,15,297,0,16
30,1,0.7992296041669072,0.4479742144813409,3.7594214242857857,2.5634429388028437,0.32015297545877264,16.56821624265797,0.0,1.7714313337748326,19.0,0.34645957855076204,0.7121666922774874,0.9331477961009567,0.9385819388744097,42.299542313459504,3.85535693856311,2.4441021832386487,0.0,0.48527285922318697,0.2632977451197803,0.9495960474014282,0.020949671044945717,0.5205652086995542,0.006030281540006399,0.46153846153846156,0.02689486552567237,1.0,0.4074074074074074,0.631578947368421,0.05045871559633027,18,11,21,398,0,16
31,1,0.7948380535518801,0.49501477020817836,4.110029758633794,2.9303603342746154,0.4242158454186363,22.954078555204696,0.0,1.958799903957964,19.0,0.2675398498714011,0.8046561749066339,1.10279796904943,1.1630770047288848,55.30089869654148,4.615579266584061,2.987771687315747,0.0,0.5670243352651596,0.18904299698770047,1.0,0.1340486705303192,0.33323600217700006,0.04484999179840088,0.13636363636363635,0.02214022140221402,1.0,0.2222222222222222,0.24000000000000002,0.040268456375838924,18,6,114,265,0,21
32,1,0.7789948288653348,0.4472985281734853,3.744236353281382,2.76399510466573,0.396327352185793,20.72323713092442,0.0,2.1732474689653563,19.0,0.2681676341456488,0.9147778480617951,0.9904295086747205,0.9844170789749784,52.483840956106505,4.649811414645066,2.85197068249824,0.0,0.5316611900925636,0.1792466616672755,1.0,0.06332238018512726,0.3433751003816724,0.015118222952878568,0.9473684210526315,0.03483606557377049,1.0,0.6296296296296297,0.972972972972973,0.06601941747572815,18,17,1,471,0,10
33,1,0.7121478145992434,0.4125692586641054,3.4503433575501314,2.2751942771240152,0.4298532976127864,12.712825010447634,0.0,2.924480168617091,19.0,0.2117047324633063,0.9316388502717846,0.6803234867011038,0.942178708238172,61.23141908770024,4.018834250235974,2.2671231700095373,0.0,0.1327588614076376,0.021785567374899985,0.06219806894659996,0.20331965386867523,0.008240008912980556,0.03533112583681941,0.0847457627118644,0.03803131991051454,0.2777777777777778,0.6296296296296297,0.12987012987012986,0.07172995780590717,5,17,54,430,13,10
34,1,0.759132361089861,0.45214962757922506,3.7706883791330696,2.140143426915996,0.3483352409056656,12.261830674833398,0.0,2.161388565567292,19.0,0.1965837894996665,0.7397869947635614,0.6454562787964525,0.8412705917455359,45.53180741733843,3.5139069506930034,2.1191148880412016,0.0,0.1788507215678692,0.03703278465254698,0.2856772840023041,0.0720241591334343,0.05673141859006137,0.01733415071503259,0.34375,0.03076923076923077,0.6111111111111112,0.6666666666666666,0.44000000000000006,0.05882352941176471,11,18,21,567,7,9
35,1,0.7573901773304552,0.4319101249849474,3.618021001686921,2.785457050177035,0.3762465759604128,16.679661590585436,0.0,2.0939945360160026,19.0,0.22525604589974665,0.7726540594509441,0.9398832442855284,0.9143638023881883,53.60249261478682,4.323923145447496,2.58433107080938,0.0,0.5463327243924141,0.33419790525731513,1.0,0.09266544878482819,0.6474167261272669,0.0209790843873634,1.0,0.03514376996805112,1.0,0.8148148148148148,1.0,0.0673813169984686,18,22,0,604,0,5
36,1,0.816266427168975,0.43051092850195394,3.636965171710865,3.331752571528953,0.29198831300247735,18.325904802570783,0.0,1.561263947374777,19.0,0.2404174190833688,0.8109214225932245,1.1523100977577654,0.9229764230457608,43.50578887407899,4.519472637606571,3.131321309661047,0.0,0.15577197074890137,0.06638135399552994,0.28539255261421204,0.026151388883590698,0.12433658562367782,0.00842612236738205,0.05054151624548736,0.0056657223796034,0.7777777777777778,0.14814814814814814,0.09491525423728812,0.01091405184174625,14,4,263,702,4,23
37,1,0.7575289510391854,0.41233356901117274,3.471266255185411,2.9016999483925145,0.349495503544459,15.950965870465774,0.0,1.9869805101517812,19.0,0.2479139200946353,0.903041506957514,0.9863357840163571,0.8831868343289008,48.66718838334967,3.9283528246784094,2.670019660329871,0.0,0.5555234551429749,0.2056030949577689,1.0,0.11104691028594971,0.37291935719549657,0.038286832720041276,1.0,0.029411764705882353,1.0,0.2962962962962963,1.0,0.05351170568561873,18,8,0,264,0,19
38,1,0.7870491388681773,0.44490876773724686,3.730340329376427,3.6000505180220137,0.5485211804259341,19.140670520047742,0.0,3.8144367029126958,19.0,0.32576102410549307,1.226910426721829,1.1334265782034185,1.1441312670717778,58.842715903467386,5.686151333096974,3.643382210957426,0.0,0.5181292910128832,0.2895926492172293,1.0,0.03625858202576637,0.5717424617148936,0.007442836719565094,0.08256880733944955,0.037037037037037035,1.0,0.4074074074074074,0.15254237288135594,0.06790123456790123,18,11,200,286,0,16
39,1,0.7889378888381494,0.4311343407308733,3.6279764948664486,2.7941777443797324,0.25836043292959965,17.254625492834524,0.0,1.5055827937919835,19.0,0.20775775007232078,0.750591346868049,1.0729578768419767,0.8800904974829896,41.34242911675481,4.446695033521939,2.9745141368931165,0.0,0.44907402992248535,0.06765194537583738,0.8981480598449707,0.0,0.13530389075167476,0.0,0.9444444444444444,0.0,0.9444444444444444,0.0,0.9444444444444444,0.0,17,0,1,0,1,27
40,1,0.8154153513747293,0.4324204553220723,3.6508610796284033,2.9876790838250473,0.3629607219997727,24.112832926266883,0.0,2.0382091638580677,19.0,0.38122105961542874,1.099104655063279,0.9676449554840222,1.1186225041200195,48.08325562676554,5.016450305209164,2.997982891242347,0.0,0.5634081438183784,0.313431977853179,1.0,0.1268162876367569,0.5950532004237175,0.031810755282640456,1.0,0.06299212598425197,1.0,0.2962962962962963,1.0,0.10389610389610389,18,8,0,119,0,19
41,1,0.820639356568053,0.405701294944093,3.453079376671765,2.7306663231381876,0.38147573716290095,19.868316742793628,0.0,2.237939255206476,19.0,0.18656625603277238,1.043574908615816,0.8909836215533444,1.0030108011662355,50.862076485351686,5.214744592247935,2.80266723265702,0.0,0.541436206549406,0.301963066670578,1.0,0.0828724130988121,0.5865563773550093,0.01736975598614663,1.0,0.05263157894736842,1.0,0.37037037037037035,1.0,0.09216589861751152,18,10,0,180,0,17
42,1,0.7809074033756513,0.4259938442626515,3.585407545437684,2.7108874612622897,0.36831656779371297,16.55112465574167,0.0,2.01259027092854,19.0,0.3912969576775806,0.9455429866095233,0.9004965394600098,0.9006164250996409,49.8628131614811,4.66751836428268,2.8475402432174337,0.0,0.46271650306880474,0.2041756433834962,0.8816591501235962,0.04377385601401329,0.4018580727279186,0.006493214039073792,0.5806451612903226,0.05063291139240506,1.0,0.4444444444444444,0.7346938775510204,0.0909090909090909,18,12,13,225,0,15
43,1,0.7523492933125109,0.3823845242527691,3.244058580011935,2.468379074690624,0.32517103440920764,14.934768688256748,0.0,1.730904813539052,19.0,0.41094716416948635,0.9071897384838078,0.7635757448272735,0.7686058390766667,53.04239279525785,3.898791156280221,2.5424699496743988,0.0,0.5197743754833937,0.2251806740910979,1.0,0.03954875096678734,0.44196174894459545,0.008399599237600341,0.8181818181818182,0.07222222222222222,1.0,0.48148148148148145,0.9,0.1256038647342995,18,13,4,167,0,14
44,1,0.6886827740314845,0.37659287694338206,3.168787948183111,2.637436733631616,0.35233873906453633,17.170174783046217,0.0,2.2042495751178732,19.0,0.3126681451729043,0.9544437603197143,0.8706426524028417,0.8844644961453293,54.289244239925175,4.129256585443019,2.6999235114385263,0.0,0.5035907591227442,0.3100208108284278,1.0,0.007181518245488405,0.6185286924708635,0.0015129291859921068,1.0,0.025547445255474453,1.0,0.25925925925925924,1.0,0.04651162790697674,18,7,0,267,0,20
45,1,0.7752449742040118,0.40578431394454595,3.4310048383635445,2.72485525794427,0.3247671244247291,21.910471435669496,0.0,1.94811008907543,19.0,0.3698922197492965,0.8903339699239947,0.9746797332575742,1.0024451542034598,49.73086393602553,4.187975883699673,2.881161524172339,0.0,0.5006613756995648,0.10701542495517061,1.0,0.0013227513991296291,0.21389857477042823,0.00013227513991296292,0.9473684210526315,0.017241379310344827,1.0,0.037037037037037035,0.972972972972973,0.023529411764705882,18,1,1,57,0,26
46,1,0.7618869506829494,0.4030707341593665,3.403973974086143,3.464533211030679,0.2940779001655617,29.578598336196347,0.0,1.6874538459514081,19.0,0.22161827909177254,1.000947633007142,1.3226504602492972,1.0880714188583391,41.574684475475195,5.347116184122546,3.5592972210705995,0.0,0.5034479135647416,0.36597293066297426,1.0,0.006895827129483223,0.7310826213099062,0.0008632400160422549,1.0,0.022099447513812154,1.0,0.2962962962962963,1.0,0.04113110539845758,18,8,0,354,0,19
47,1,0.7565150329390088,0.38493421492544383,3.265264137371166,3.2012768937231195,0.302694692010763,23.715998134062314,0.0,1.8229786454794594,19.0,0.2437640863520137,0.931857347021976,1.187691766922675,0.8769484568780397,47.79045601109448,4.88905893050612,3.25213966815566,0.0,0.5114978412166238,0.26982688409625555,1.0,0.022995682433247566,0.5367639267584309,0.0028898414340801535,1.0,0.03932584269662921,1.0,0.25925925925925924,1.0,0.06829268292682926,18,7,0,171,0,20
48,1,0.7488140800112003,0.38903036693463455,3.2921347891962207,3.533401361633265,0.49587241624824674,20.714312390713626,0.0,3.0086177836422006,19.0,0.3731552262910095,1.2606968994401184,1.084989370927117,1.1176922053543792,65.77252167027696,5.49793893964359,3.7736668313977537,0.0,0.5574026368558407,0.173879083088832,1.0,0.11480527371168137,0.3237710164859891,0.02398714969167486,0.07659574468085106,0.02066115702479339,1.0,0.37037037037037035,0.1422924901185771,0.039138943248532294,18,10,217,474,0,17
49,1,0.7811862186000154,0.38754223991890213,3.297159916645772,3.0760773126527456,0.28321458291862833,24.049031807002756,0.0,1.556263117588724,19.0,0.32065761315317715,0.9182649397422132,1.1008804154885035,0.953838599353548,41.07594245210237,4.824941182631066,3.5635826523267062,0.0,0.5388985984027386,0.3368375938909594,1.0,0.07779719680547714,0.6590052180923521,0.014669969689566641,0.20930232558139536,0.039285714285714285,1.0,0.4074074074074074,0.3461538461538462,0.07166123778501629,18,11,68,269,0,16
50,1,0.7459324711077923,0.3966262374778052,3.3476630320420138,2.773880522530844,0.3264785593072904,22.67840228416899,0.0,1.6503657561163334,19.0,0.3506901173181417,0.9210015697735802,0.9818008591650956,0.8892492533544217,49.543541777494134,4.233463243330876,2.977421951075365,0.0,0.5203012097626925,0.1721110068305279,1.0,0.0406024195253849,0.33468364311847837,0.009538370542577468,0.2,0.0425531914893617,1.0,0.5925925925925926,0.33333333333333337,0.0794044665012407,18,16,72,360,0,11
51,1,0.7578353084422447,0.3858591839671135,3.272861545150344,2.3751510719914064,0.31997335637251795,17.4676813948886,0.0,1.8891922772955692,19.0,0.23008713108776607,0.8998309178472473,0.762872963261254,0.7549864007756826,45.146404040403176,3.758395060613664,2.5438517541034025,0.0,0.34635639004409313,0.04828059761784971,0.6629318594932556,0.02978092059493065,0.09108076933771372,0.005480425897985697,0.7777777777777778,0.05263157894736842,0.7777777777777778,0.2962962962962963,0.7777777777777778,0.0893854748603352,14,8,4,144,4,19
