epoch,phase,cls_loss,box_loss,total_loss,grad_norm_head_level2,grad_norm_neck,steps_taken,grad_norm_backbone_stem,grad_norm_backbone_stage0,grad_norm_head_level1,grad_norm_head_level3,grad_norm_backbone_stage3,oom_skipped,grad_norm_backbone_stage2,grad_norm_backbone_stage1,grad_norm_head_level0,nan_skipped,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
39,1,1.0647998637444265,0.5873548454932265,4.9375612703529566,1.9403959329839608,6.908389266893437,19.0,1.6938702605869354,3.4680826012375108,5.078700352599634,85.40836456222887,23.17633766996908,0.0,19.893993518014845,4.3785459004812575,13.954065650827337,0.0,0.20693032443523407,0.08894083142513409,0.41386064887046814,0.0,0.17788166285026819,0.0,0.30357142857142855,0.0,0.9444444444444444,0.0,0.45945945945945943,0.0,17,0,39,242,1,31
40,1,1.175702140137956,0.6635959820972906,5.564820962983209,1.5893555130136996,6.828618978012878,19.0,1.9207018858442901,3.7804097244064203,3.410622995923806,76.63022707959058,21.587051879714217,0.0,18.199152460249252,5.0497482613165365,18.63034057652829,0.0,0.49418553181385505,0.1599302835038543,0.9883041381835938,6.692544411635026e-05,0.3198404893744737,2.007763323490508e-05,0.391304347826087,0.0019305019305019305,1.0,0.03225806451612903,0.5625,0.003642987249544626,18,1,28,517,0,30
41,1,1.036314364220645,0.5970955670282647,4.996373914383553,1.5026634736337168,6.332009494978743,19.0,1.6856482695041566,3.168177081050946,4.20966562750555,75.93022587750424,19.58482850554226,0.0,16.539566424888896,3.8087468849907924,16.44600502793047,0.0,0.4910493791103363,0.2011887242551893,0.9820987582206726,0.0,0.4023774485103786,0.0,0.6666666666666666,0.0,1.0,0.0,0.8,0.0,18,0,9,331,0,31
42,1,1.0253599233723976,0.6031067478092941,5.035980564516944,1.8499030382782244,6.86737121630192,19.0,2.144151508678837,3.7749187470576104,3.9242877440466626,74.06150769015707,17.91756097009248,0.0,17.917799435086827,4.470526670515412,17.49644058145424,0.0,0.5018016232643276,0.27263709767539696,1.0,0.0036032465286552906,0.5446078389883041,0.0006663563624897506,0.8181818181818182,0.0070389488503050214,1.0,0.4838709677419355,0.9,0.013876040703052728,18,15,4,2116,0,16
43,1,1.0217881722224724,0.6163094235030381,5.133214758860098,1.3075176151771228,9.712500121165638,19.0,2.535614905326396,4.72247124610863,5.293603499113184,84.39215312948281,33.31612346997907,0.0,25.281382469789826,5.697443984875099,17.971351430746402,0.0,0.3652536349982256,0.1893299242874491,0.7302964329719543,0.00021083702449686825,0.37858519761357456,7.465096132364124e-05,0.35294117647058826,0.0017921146953405018,1.0,0.03225806451612903,0.5217391304347826,0.0033955857385398977,18,1,33,557,0,30
44,1,0.9906571970598118,0.616776182240731,5.121149945903468,1.7866608474744756,7.339971819048405,19.0,2.1794039537522396,3.997503219501488,5.775760215102413,79.12758589998474,25.45351386672973,0.0,23.89277183857652,4.727398809578634,16.034990636461615,0.0,0.41849493980407715,0.23100303286919371,0.8369898796081543,0.0,0.46200606573838743,0.0,0.23376623376623376,0.0,1.0,0.0,0.3789473684210526,0.0,18,0,59,421,0,31
45,1,1.0130105948931463,0.6338894024894044,5.260675831421001,1.1934380799353492,7.2123826656655945,19.0,1.8735939276704587,3.435129438776545,3.4980487127700512,76.19440842110302,21.286576871560158,0.0,22.57261664342792,4.5218732885005455,19.463096749838083,0.0,0.3690338134765625,0.2653570458292961,0.738067626953125,0.0,0.5307140916585922,0.0,0.1836734693877551,0.0,1.0,0.0,0.3103448275862069,0.0,18,0,80,690,0,31
46,1,0.969548999457746,0.6337198872823973,5.23767368857925,0.967835899792106,7.836619548871108,19.0,2.3573738712452514,3.900964804853011,4.583810266793758,93.96107789500361,26.928024600532858,0.0,25.53897270988047,5.267043557667963,16.646600077172216,0.0,0.5,0.17203264652052894,1.0,0.0,0.3440652930410579,0.0,0.5294117647058824,0.0,1.0,0.0,0.6923076923076924,0.0,18,0,16,500,0,31
47,1,1.0641904497468793,0.5856858802002829,4.924739335034345,1.3197608323529941,7.591066731880687,19.0,2.3188290586763958,3.790731063483801,4.418327666850334,92.61856298265286,28.729015243403982,0.0,25.669716873713615,5.126817737809446,15.76964616308781,0.0,0.5,0.36350762117654084,1.0,0.0,0.7270152423530817,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,0.0,18,0,18,727,0,31
48,1,1.0557029907767836,0.5697828020799804,4.801222562789917,1.3303596191930671,6.343287773567804,19.0,1.9310954175097101,3.3163183087255224,3.854146325999471,86.71836733841585,21.200556408662088,0.0,17.41341059813059,4.356762409256986,17.365472207642654,0.0,0.5,0.3575865250080824,1.0,0.0,0.7151730500161648,0.0,0.6923076923076923,0.0,1.0,0.0,0.8181818181818181,0.0,18,0,8,1029,0,31
