epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_stage0,grad_norm_head_level0,grad_norm_backbone_stage3,grad_norm_backbone_stage2,steps_taken,grad_norm_backbone_stage1,grad_norm_backbone_stem,nan_skipped,grad_norm_neck,oom_skipped,grad_norm_head_level1,grad_norm_head_level2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
42,1,0.7372529156304695,0.6534732541925198,5.269675881476016,3.5765602094247826,6.348259892156256,18.818400572424668,15.975042948786967,19.0,4.540929011834753,1.7870295837228443,0.0,6.186948343794446,0.0,2.2646061642725783,81.70977625157447,0.23204608261585236,0.08630816361983307,0.4640921652317047,0.0,0.17261632723966613,0.0,0.12878787878787878,0.0,0.9444444444444444,0.0,0.22666666666666668,0.0,17,0,115,1333,1,31
43,1,0.8034466501023318,0.6599977006380623,5.351706069868964,2.6903790368233236,8.544767864158697,15.255773292406026,13.730125225443008,19.0,3.8479112982716077,1.3996520575620388,0.0,5.347755216857687,0.0,2.057067087670852,71.82009787118169,0.5,0.31601526620797815,1.0,0.0,0.6320305324159563,0.0,0.36,0.0,1.0,0.0,0.5294117647058824,0.0,18,0,32,1163,0,31
44,1,0.7004516765072539,0.6583224208773794,5.287643970669927,2.9917242983767767,7.3138019808007195,13.85734320143055,12.73894505207145,19.0,3.709538098639144,1.4506281551894695,0.0,4.7280719366982735,0.0,1.8534252606066344,62.78238863911468,0.5,0.3480132717639208,1.0,0.0,0.6960265435278415,0.0,0.1592920353982301,0.0,1.0,0.0,0.2748091603053435,0.0,18,0,95,799,0,31
45,1,0.7432504167427888,0.6825396426626154,5.490672543242171,3.8476534237842803,6.31122751177776,18.19035610517332,17.82607170827978,19.0,4.911946201748538,1.8494698394465547,0.0,6.365336907989179,0.0,1.8686234166660767,82.72996051322872,0.5,0.2390432153828442,1.0,0.0,0.4780864307656884,0.0,0.6666666666666666,0.0,1.0,0.0,0.8,0.0,18,0,9,1796,0,31
46,1,0.822311562460822,0.7001655287033802,5.662397267045201,4.189972167201006,14.007151898526946,21.648516401313312,21.181666803354048,19.0,5.758412787657844,2.258869357586644,0.0,7.619262640964046,0.0,2.2924635058788754,93.94565315198663,0.3461538553237915,0.1539747691247612,0.692307710647583,0.0,0.3079495382495224,0.0,0.15254237288135594,0.0,1.0,0.0,0.2647058823529412,0.0,18,0,100,1072,0,31
47,1,0.7313954463681659,0.6776924048726624,5.448390746438825,2.277241745792895,8.649784655737403,10.62787335695783,11.229425989265232,19.0,2.8707588032647875,1.1507932869798154,0.0,3.6819037705613042,0.0,1.7550157108618685,54.005863911369026,0.5,0.36990740466862915,1.0,0.0,0.7398148093372583,0.0,0.06976744186046512,0.0,1.0,0.0,0.13043478260869565,0.0,18,0,240,1428,0,31
48,1,0.7218242597741049,0.6232184010583002,5.035050144066682,3.168267533249659,11.402605732798476,18.334508627935275,15.06558136758963,19.0,4.138629506229753,1.703128319442462,0.0,6.002797467252602,0.0,1.5285173017441285,82.96510319197174,0.5,0.23632495536003262,1.0,0.0,0.47264991072006524,0.0,0.15,0.0,1.0,0.0,0.2608695652173913,0.0,18,0,102,555,0,31
49,1,0.710409346867252,0.6239722504003627,5.034996549825411,2.632515299963034,6.7879280858558575,17.11340635282133,15.226231444557335,19.0,3.6477611300918666,1.4170443037357565,0.0,5.749929252199109,0.0,2.7836170744712714,86.1981497448957,0.5,0.31763327643275263,1.0,0.0,0.6352665528655053,0.0,0.9473684210526315,0.0,1.0,0.0,0.972972972972973,0.0,18,0,1,1022,0,31
50,1,0.6576749038051914,0.640503391824864,5.13261290498682,2.906955042086635,5.305275703417208,19.038660092999198,16.405726625848807,19.0,4.046483821146015,1.5524368244649118,0.0,6.230411946738122,0.0,1.2120972425589076,88.67969620782682,0.5,0.38087145392782984,1.0,0.0,0.7617429078556597,0.0,0.22784810126582278,0.0,1.0,0.0,0.3711340206185567,0.0,18,0,61,788,0,31
51,1,0.7542785502768852,0.6615483346017631,5.338751788074906,2.9806468214870265,6.096943096946811,20.59018361139874,15.9976057303511,19.0,4.318494685161229,1.677091229771283,0.0,6.747390350928927,0.0,2.4329395902048994,87.09193319801786,0.4985380172729492,0.3079153013881296,0.9970760345458984,0.0,0.6158306027762592,0.0,0.6428571428571429,0.0,1.0,0.0,0.782608695652174,0.0,18,0,10,962,0,31
52,1,0.6541176663862692,0.650225127266871,5.203747328874227,3.0108619547051227,5.015325930013839,22.757357043953608,17.313917005496677,19.0,4.227660680085492,1.6636524952180904,0.0,7.362980365713746,0.0,1.4131151641195523,95.66716872818454,0.5,0.1721829403191805,1.0,0.0,0.344365880638361,0.0,0.0989010989010989,0.0,1.0,0.0,0.17999999999999997,0.0,18,0,164,947,0,31
53,1,0.7062072568648571,0.6303735842575898,5.080905435858546,2.9417618747741576,6.945273948692124,18.05392826228409,14.768962575634465,19.0,3.8203508139615225,1.5654277946770976,0.0,6.07415608817466,0.0,2.242517758952908,84.5584434741479,0.5,0.35955246835947036,1.0,0.0,0.7191049367189407,0.0,0.06716417910447761,0.0,1.0,0.0,0.12587412587412586,0.0,18,0,250,717,0,31
54,1,0.6994116773476472,0.6415913519827096,5.16164097753731,2.655941171799621,4.797334217409036,22.137258184779316,17.06514905453573,19.0,3.5928703860017177,1.3538452937568601,0.0,7.047338318387852,0.0,2.4072995816781586,92.57092803547043,0.5,0.35671296156942844,1.0,0.0,0.7134259231388569,0.0,0.6,0.0,1.0,0.0,0.7499999999999999,0.0,18,0,12,1030,0,31
55,1,0.7218454242558092,0.6549184074675715,5.272810749105505,2.710400225342243,7.561653790241465,23.886931451792805,17.201312180403928,19.0,3.8033876881884923,1.4452234026158741,0.0,7.308800315427405,0.0,2.538968033663803,94.70895501287549,0.5,0.2917091025039554,1.0,0.0,0.5834182050079108,0.0,0.07659574468085106,0.0,1.0,0.0,0.1422924901185771,0.0,18,0,217,1000,0,31
56,1,0.7307376644095859,0.6473303068731282,5.2203461302293315,2.5780191916342305,5.842511628051432,22.05665620246301,16.881447964636124,19.0,3.583566442557718,1.3840069329968758,0.0,6.626696118736385,0.0,3.759931896144805,93.12810697120746,0.5,0.2990119435125962,1.0,0.0,0.5980238870251924,0.0,0.6923076923076923,0.0,1.0,0.0,0.8181818181818181,0.0,18,0,8,1255,0,31
57,1,0.6962046413808256,0.6235711814181225,5.02488618928033,2.4624129844697777,6.4532327895378465,15.999179460147566,13.188616778639199,19.0,3.326474083889694,1.3088261515116406,0.0,5.1928992312560736,0.0,2.06770523182613,91.69800318758905,0.5,0.370886749913916,1.0,0.0,0.741773499827832,0.0,0.0661764705882353,0.0,1.0,0.0,0.12413793103448276,0.0,18,0,254,1060,0,31
58,1,0.7561573873500567,0.6576528575372051,5.310475154502972,2.5877673682149736,7.627612040197659,17.220036088595513,13.571081426276589,19.0,3.5354769152802716,1.4257001633566118,0.0,5.676318908369403,0.0,3.091224092111041,84.92638626554374,0.5,0.3647516846656799,1.0,0.0,0.7295033693313598,0.0,0.07692307692307693,0.0,1.0,0.0,0.14285714285714288,0.0,18,0,216,1100,0,31
59,1,0.7141681804850295,0.6668084525578731,5.358147484225196,3.0484040950640297,4.426936374824088,22.0576843859183,16.437543139105586,19.0,4.2752306403679805,1.7202380497955312,0.0,6.992963992878904,0.0,2.094021461922535,94.9484629955564,0.5,0.3319984094239771,1.0,0.0,0.6639968188479543,0.0,0.5454545454545454,0.0,1.0,0.0,0.7058823529411764,0.0,18,0,15,1284,0,31
60,1,0.6917813476678487,0.6419249863640683,5.160328054750288,3.021061802056355,5.105792030983369,20.848083509391337,16.675954130585385,19.0,4.057390175096468,1.6714974719223552,0.0,6.962447857822733,0.0,1.5114854719391033,96.26998955704208,0.5,0.411612200748641,1.0,0.0,0.823224401497282,0.0,0.391304347826087,0.0,1.0,0.0,0.5625,0.0,18,0,28,927,0,31
61,1,0.7227871538819494,0.6507852657421215,5.2422830800752385,3.059271810837661,6.178366010576102,20.419233092380992,16.585860997145673,19.0,4.05241727965494,1.6674155367826338,0.0,6.882526904505984,0.0,1.8545777345886918,93.00918689033992,0.5,0.3803758792812005,1.0,0.0,0.760751758562401,0.0,0.0861244019138756,0.0,1.0,0.0,0.15859030837004406,0.0,18,0,191,1349,0,31
62,1,0.6790320820905067,0.6251083401006621,5.027828638618057,3.0946206120496353,6.1144231731080465,20.83196009314106,16.280746727080196,19.0,4.019815181735623,1.6640278009583604,0.0,6.988792753495269,0.0,1.9533403824369306,100.53257958161177,0.5,0.19699073848314583,1.0,0.0,0.39398147696629165,0.0,0.9,0.0,1.0,0.0,0.9473684210526316,0.0,18,0,2,943,0,31
63,1,0.7078113761302587,0.6496102597463775,5.225982630575025,2.3598691517289208,5.091097686306322,14.623561480365074,12.536983063604437,19.0,2.905546134342327,1.2412787137102326,0.0,4.9076450282881545,0.0,1.6919329869054365,67.76891623269444,0.5,0.36657406762242317,1.0,0.0,0.7331481352448463,0.0,0.0782608695652174,0.0,1.0,0.0,0.14516129032258066,0.0,18,0,212,1427,0,31
64,1,0.668004497885704,0.6457444561292996,5.177085694429037,2.8250495429457554,3.995231798385477,22.92868730371666,18.452350095751218,19.0,3.7117793988053482,1.5060665597548955,0.0,7.454465312281667,0.0,2.203487827650975,102.59369227191536,0.5,0.22856065668165684,1.0,0.0,0.4571213133633137,0.0,0.47368421052631576,0.0,1.0,0.0,0.6428571428571429,0.0,18,0,20,1093,0,31
65,1,0.6396870149953945,0.6454382520672437,5.160630392061697,2.361982671711398,5.174495523579377,17.202551270318956,14.150618324103174,19.0,3.182288349758206,1.3186491388874833,0.0,5.8447549401284355,0.0,1.363328095476536,83.10182495713293,0.5,0.25701706709805877,1.0,0.0,0.5140341341961175,0.0,0.08780487804878048,0.0,1.0,0.0,0.1614349775784753,0.0,18,0,187,1065,0,31
