epoch,phase,cls_loss,box_loss,total_loss,kd_loss,oom_skipped,nan_skipped,steps_taken,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
26,1,0.8914667367935181,0.5292048958631662,4.990841608781081,0.5760716154025152,0.0,0.0,7.0,0.0992525964975357,0.016757323255296795,0.1388235092163086,0.05968168377876282,0.014118757541291415,0.019395888969302177,0.05384615384615385,0.018726591760299626,0.7777777777777778,0.3125,0.10071942446043165,0.0353356890459364,7,10,123,524,2,22
27,1,0.9977815334613507,0.5665941742750314,5.319745724017803,0.5713986020821792,0.0,0.0,7.0,0.5273215547204018,0.28597874983679505,0.9999999403953552,0.0546431690454483,0.5555555291473866,0.016401970526203513,0.10714285714285714,0.025,1.0,0.3125,0.19354838709677416,0.046296296296296294,9,10,75,390,0,22
28,1,0.8813019440724299,0.5299533834824195,4.977621408609243,0.5623201177670405,0.0,0.0,7.0,0.5302940681576729,0.30151711033686296,0.9999999403953552,0.06058819591999054,0.5820987436920404,0.020935476981685498,0.06818181818181818,0.02710843373493976,1.0,0.28125,0.1276595744680851,0.04945054945054945,9,9,123,323,0,23
29,1,0.9139725244962252,0.5316809553366441,4.999837141770583,0.5552436250906724,0.0,0.0,7.0,0.5489948466420174,0.311254019709304,0.9999999403953552,0.0979897528886795,0.5976851523853839,0.024822887033224106,0.0989010989010989,0.049079754601226995,1.0,0.25,0.17999999999999997,0.08205128205128205,9,8,82,155,0,24
30,1,0.8111133071092459,0.5132633653970865,4.804936592395489,0.5499048416431134,0.0,0.0,7.0,0.5401893816888332,0.2699137068470009,0.9999999403953552,0.08037882298231125,0.516754825413227,0.02307258828077465,0.14516129032258066,0.014749262536873156,1.0,0.3125,0.2535211267605634,0.028169014084507043,9,10,53,668,0,22
31,1,0.9935470177577093,0.5312688167278583,5.014053491445688,0.5327637699934152,0.0,0.0,7.0,0.27723485976457596,0.07887636093364563,0.44999998807907104,0.10446973145008087,0.11371499821543693,0.04403772365185432,0.06474820143884892,0.013480392156862746,1.0,0.34375,0.12162162162162161,0.025943396226415096,9,11,130,805,0,21
32,1,0.9017101388711196,0.5404935135291173,5.032920250525842,0.5283638284756587,0.0,0.0,7.0,0.5303758103400469,0.263175811432302,0.9999999403953552,0.06075168028473854,0.5018518220633268,0.02449980080127716,0.1,0.025974025974025976,1.0,0.375,0.18181818181818182,0.048582995951417005,9,12,81,450,0,20
33,1,0.9378585265232966,0.540845139668538,5.050194923694317,0.5249271186498495,0.0,0.0,7.0,0.23747071251273155,0.06202253728260985,0.44999998807907104,0.02494143694639206,0.11390838138759136,0.010136693177628331,0.0703125,0.022727272727272728,1.0,0.34375,0.13138686131386862,0.04263565891472868,9,11,119,473,0,21
34,1,0.8380632813160236,0.5018289066278018,4.699233568631685,0.516485177553617,0.0,0.0,7.0,0.5364183820784092,0.2644488666963298,0.9999999403953552,0.07283682376146317,0.5137345492839813,0.015163184108678252,0.08490566037735849,0.016597510373443983,1.0,0.25,0.15652173913043477,0.0311284046692607,9,8,97,474,0,24
35,1,0.8195391297340393,0.5154396020449125,4.786979308495154,0.5114126961964828,0.0,0.0,7.0,0.16670245304703712,0.03363910142652458,0.2684665322303772,0.06493837386369705,0.04115286716260016,0.026125335690448993,0.04891304347826087,0.02097902097902098,1.0,0.28125,0.09326424870466321,0.039045553145336226,9,9,175,420,0,23
36,1,0.9124681903765752,0.513904353747001,4.822486217205341,0.5119694906931657,0.0,0.0,7.0,0.5409195870161057,0.2755812259747472,0.9999999403953552,0.08183923363685608,0.5320987395942212,0.01906371235527331,0.11538461538461539,0.021367521367521368,1.0,0.3125,0.20689655172413793,0.04000000000000001,9,10,69,458,0,22
37,1,0.919866878252763,0.5262228548526764,4.909105484302227,0.5025005959547483,0.0,0.0,7.0,0.5290884766727686,0.282090659464302,0.9999999403953552,0.05817701295018196,0.5470899194478989,0.01709139948070515,0.09574468085106383,0.01717557251908397,1.0,0.28125,0.17475728155339806,0.03237410071942446,9,9,85,515,0,23
38,1,0.8541084986466628,0.5223384109827188,4.840410342583289,0.4958178951190068,0.0,0.0,7.0,0.27477399818599224,0.064349883235991,0.4999999701976776,0.04954802617430687,0.11093474356457592,0.017765022907406093,0.05263157894736842,0.026252983293556086,1.0,0.34375,0.1,0.04878048780487805,9,11,162,408,0,21
39,1,0.9048622479805579,0.5174252046988561,4.8316916319040155,0.49857157239547145,0.0,0.0,7.0,0.3087773844599724,0.07621188642951893,0.5370370149612427,0.08051775395870209,0.13307523131370544,0.019348541545332408,0.07258064516129033,0.02610966057441253,1.0,0.3125,0.13533834586466167,0.04819277108433734,9,10,115,373,0,22
40,1,0.7994042680813715,0.4911335500387045,4.584163445692796,0.5009596920930423,0.0,0.0,7.0,0.29288362711668015,0.09333727927878499,0.4999999701976776,0.08576728403568268,0.15975191267207264,0.02692264588549733,0.06716417910447761,0.026584867075664622,1.0,0.40625,0.12587412587412586,0.04990403071017275,9,13,125,476,0,19
41,1,0.8079689374336829,0.4873639184695024,4.554593618099506,0.49537982848974377,0.0,0.0,7.0,0.5354259870946407,0.1892918246681802,0.9999999403953552,0.07085203379392624,0.35072950795292857,0.02785414138343185,0.08333333333333333,0.023255813953488372,1.0,0.3125,0.15384615384615385,0.04329004329004329,9,10,99,420,0,22
42,1,0.7760586280089158,0.49061874930675214,4.560153099206778,0.49248315967046297,0.0,0.0,7.0,0.5349348746240139,0.2716223231051117,0.9999999403953552,0.06986980885267258,0.5126543002203107,0.030590345989912747,0.10112359550561797,0.025906735751295335,1.0,0.3125,0.18367346938775508,0.04784688995215311,9,10,80,376,0,22
43,1,0.7521066207152146,0.4920154420229105,4.551130001361553,0.48496090448819673,0.0,0.0,7.0,0.5321395806968212,0.20581858042860404,0.9999999403953552,0.0642792209982872,0.3875837564468384,0.024053404410369694,0.10465116279069768,0.023696682464454975,1.0,0.3125,0.18947368421052632,0.04405286343612334,9,10,77,412,0,22
44,1,0.9582985043525696,0.5077611070412856,4.774578607999361,0.4872210186261397,0.0,0.0,7.0,0.5349788442254066,0.18728097976418212,0.9999999403953552,0.06995774805545807,0.34297837913036344,0.03158358039800078,0.10112359550561797,0.025510204081632654,1.0,0.3125,0.18367346938775508,0.04716981132075472,9,10,80,382,0,22
45,1,0.9222157735090989,0.5162924436422495,4.818879200862004,0.4855780807825235,0.0,0.0,7.0,0.5351561345160007,0.11523374920943752,0.9999999403953552,0.07031232863664627,0.2015184424817562,0.02894905593711883,0.09183673469387756,0.02577319587628866,1.0,0.3125,0.16822429906542058,0.04761904761904761,9,10,89,378,0,22
46,1,0.8383253858639643,0.4822087104503925,4.520128030043382,0.484400022488374,0.0,0.0,7.0,0.5348082445561886,0.11835745084099472,0.9999999403953552,0.06961654871702194,0.20731521174311637,0.029399689938873052,0.09278350515463918,0.025,1.0,0.3125,0.16981132075471697,0.046296296296296294,9,10,88,390,0,22
47,1,0.9046797156333923,0.505803454380769,4.7326130867004395,0.48674734968405503,0.0,0.0,7.0,0.5362456366419792,0.12395971543155611,0.9999999403953552,0.07249133288860321,0.2166338764131069,0.03128555445000529,0.0891089108910891,0.022222222222222223,1.0,0.28125,0.1636363636363636,0.04118993135011442,9,9,92,396,0,23
48,1,0.7577177928044245,0.47185799250235927,4.405872198251577,0.4880783007695125,0.0,0.0,7.0,0.536322932690382,0.16555407954147086,0.9999999403953552,0.07264592498540878,0.3005092449486256,0.030598914134316146,0.09473684210526316,0.025510204081632654,1.0,0.3125,0.17307692307692307,0.04716981132075472,9,10,86,382,0,22
49,1,0.9910911688437829,0.5294717641977164,4.953715837918795,0.4871320907886212,0.0,0.0,7.0,0.5367830879986286,0.13596243574284017,0.9999999403953552,0.07356623560190201,0.24070766419172288,0.031217207293957473,0.09574468085106383,0.025,1.0,0.3125,0.17475728155339806,0.046296296296296294,9,10,85,390,0,22
50,1,0.9401986094621512,0.4936460508750035,4.654693236717811,0.4822486020051516,0.0,0.0,7.0,0.5366309583187103,0.1710320921149105,0.9999999403953552,0.07326197624206543,0.31097000017762183,0.031094184052199124,0.10227272727272728,0.024875621890547265,1.0,0.3125,0.18556701030927836,0.04608294930875576,9,10,79,392,0,22
