epoch,phase,cls_loss,box_loss,total_loss,grad_norm_backbone_nir_stem,grad_norm_backbone_rgb_stem,grad_norm_backbone_stage3,grad_norm_fusion,grad_norm_neck,grad_norm_head_level0,steps_taken,grad_norm_head_level1,grad_norm_head_level2,grad_norm_backbone_stage1,nan_skipped,oom_skipped,grad_norm_backbone_stage0,grad_norm_backbone_stage2,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
26,1,0.8087630042353192,0.5146750169428619,4.264444141774564,1.4385216653018795,0.8066591746820889,2.3059031407152837,0.5824180073939658,1.5412913902645673,13.563427195323328,19.0,2.933970624772968,65.5667167970353,2.6676168650841965,0.0,0.0,3.2489768664163323,4.417082019950763,0.004263539798557758,0.0016609218902885914,0.0,0.008527079597115517,0.0,0.003321843780577183,0.0,0.006,0.0,0.1111111111111111,0.0,0.011385199240986717,0,3,1380,497,18,24
27,1,0.8142072667141218,0.514114801948135,4.262964622394459,2.0902906089663595,0.8077662642573487,2.5913200231834153,0.5209897410504913,1.7502035742131112,19.475854672142315,19.0,4.6565093639123845,72.16099532053889,3.4930129695228134,0.0,0.0,4.447544720392932,5.604432957615222,0.4348524082452059,0.07717235887103016,0.8120371103286743,0.05766770616173744,0.14258819092065095,0.011756526821409352,0.39473684210526316,0.03052064631956912,0.8333333333333334,0.6296296296296297,0.5357142857142857,0.05821917808219179,15,17,23,540,3,10
28,1,0.7432168307336601,0.5162855374651987,4.2437499664925245,1.1806041043190074,0.6548660050315641,1.9794302010927969,0.37041451970983985,1.3949221883639145,13.929559772161042,19.0,2.6896839642038732,67.41422241953678,2.2426020631841537,0.0,0.0,2.727471479697511,3.52230009383825,0.09728850610554218,0.03220434064278379,0.1607142686843872,0.03386274352669716,0.058247062214650216,0.006161619070917368,0.2903225806451613,0.03481012658227848,0.5,0.4074074074074074,0.3673469387755102,0.0641399416909621,9,11,22,305,9,16
29,1,0.7772440519687291,0.5041313102921924,4.169606862841426,1.6097690842395667,0.6836808056598114,1.9647200801227829,0.3542984841481044,1.136216779500682,19.04880332095649,19.0,4.21277111265998,48.091069121941,2.746665644433086,0.0,0.0,3.3577774791500903,4.141022391313083,0.04881984752137214,0.009113429995340993,0.003267973894253373,0.0943717211484909,0.00032679738942533734,0.01790006260125665,0.05555555555555555,0.050397877984084884,0.05555555555555555,0.7037037037037037,0.05555555555555555,0.09405940594059406,1,19,17,358,17,8
30,1,0.7777103636715863,0.4798691176079415,3.987873567117227,1.0850569644338102,0.7342604274499781,1.9570282649880908,0.38236186166872443,1.0146007502800154,13.772030845522664,19.0,2.6554908255146032,49.52242885127601,2.1606785872354766,0.0,0.0,2.663794923692823,3.304388175782306,0.1830044612288475,0.03112280631903559,0.23213127255439758,0.13387764990329742,0.02506497912108898,0.0371806335169822,0.002177293934681182,0.022058823529411766,0.3888888888888889,0.4444444444444444,0.004330343334364367,0.04203152364273205,7,12,3208,532,11,15
31,1,0.8202220861976212,0.5062318383841902,4.20684986823314,1.4010089430427568,1.1648105530460489,2.628043399002849,0.5333040449357058,1.3991002399536296,16.367194349456174,19.0,2.6410593686348323,70.97597471722219,3.0644304371081903,0.0,0.0,3.5912390365297995,4.147192191608277,0.45319872722029686,0.19636353912428603,0.8251339197158813,0.08126353472471237,0.374907349050045,0.017819729198527055,0.47368421052631576,0.04195804195804196,1.0,0.6666666666666666,0.6428571428571429,0.07894736842105263,18,18,20,411,0,9
32,1,0.8040778206006901,0.4687866985395148,3.917939157099337,1.815206855966196,0.778371329648839,1.9384285783051887,0.3253863657887928,1.0434792148874354,20.86702411596829,19.0,3.5605955579167032,54.40445815562795,2.812835772136602,0.0,0.0,3.7749053323367874,4.138678233468047,0.018749436363577843,0.005093740968732163,0.0,0.037498872727155685,0.0,0.010187481937464327,0.0,0.024324324324324326,0.0,0.6666666666666666,0.0,0.04693611473272491,0,18,585,722,18,9
33,1,0.8016520533207301,0.4789656491295711,3.9930683793248356,1.9604642958503633,1.0543354727943062,2.2171432354621725,0.4263039119240154,1.262483859485021,21.495449570654877,19.0,2.0938069289911394,65.26463877732712,3.3304409939829758,0.0,0.0,4.2930403851432795,4.662549755311346,0.11213992349803448,0.013429883436765521,0.20576132833957672,0.018518518656492233,0.024723014701157807,0.002136752172373235,0.18867924528301888,0.0043859649122807015,0.5555555555555556,0.037037037037037035,0.28169014084507044,0.00784313725490196,10,1,43,227,8,26
34,1,0.7439728149691144,0.4622755252026223,3.839052844691921,1.3775622420127933,0.8314822498476613,1.7940811254966635,0.3326748640424034,1.1072989126665476,21.94831290919076,19.0,3.017070385144809,62.49190968500142,2.6111787013937224,0.0,0.0,3.746858464046812,4.027508750099241,0.48809823393821716,0.07526868673739955,0.8074073791503906,0.1687890887260437,0.12069250056520105,0.02984487290959805,0.3,0.02441860465116279,0.8333333333333334,0.7777777777777778,0.4411764705882353,0.04735062006764374,15,21,35,839,3,6
35,1,0.7867591050831048,0.44997739308589213,3.7682099954502,1.2446851707337097,0.7885684665172414,2.038570803790445,0.3869808606556436,1.258732505144447,17.07044219584211,19.0,1.4718247903978958,69.45762463539923,2.4570411850819096,0.0,0.0,3.3303414892303196,3.5710003993566004,0.45719195157289505,0.09263746517244727,0.7308641672134399,0.18351973593235016,0.12350308501627297,0.061771845328621566,0.7777777777777778,0.05067567567567568,0.7777777777777778,0.5555555555555556,0.7777777777777778,0.09287925696594429,14,15,4,281,4,12
