epoch,phase,cls_loss,box_loss,total_loss,oom_skipped,nan_skipped,steps_taken,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
22,1,0.9460896666233356,0.6417969877903278,5.286522205059345,0.0,0.0,7.0,0.1339383479207754,0.017779258236987516,0.23841241002082825,0.02946428582072258,0.03187134712934494,0.0036871693446300924,0.04,0.04,0.5555555555555556,0.09375,0.07462686567164178,0.05607476635514018,5,3,120,72,4,29
23,1,0.8521253145658053,0.5944489057247455,4.884429344764123,0.0,0.0,7.0,0.009287914261221886,0.0030022942810319364,0.0,0.01857582852244377,0.0,0.006004588562063873,0.0,0.01768172888015717,0.0,0.28125,0.0,0.033271719038817,0,9,62,500,9,23
24,1,0.9549071009342487,0.6090632126881526,5.04542768918551,0.0,0.0,7.0,0.12672461289912462,0.04508493664325215,0.22499999403953552,0.028449231758713722,0.08361173905432225,0.006558134232182056,0.07142857142857142,0.01010886469673406,1.0,0.40625,0.13333333333333333,0.019726858877086494,9,13,117,1273,0,19
25,1,1.007854232421288,0.6032895996020391,5.028599225557768,0.0,0.0,7.0,0.22326528356643394,0.05615185759379528,0.4446648955345154,0.0018656715983524919,0.1115672916173935,0.0007364235701970756,0.16363636363636364,0.0136986301369863,1.0,0.0625,0.28125,0.02247191011235955,9,2,46,144,0,30
26,1,0.9289888005990249,0.5882406143041757,4.876299124497634,0.0,0.0,7.0,0.25284121185541153,0.07285366771975532,0.47722023725509644,0.028462186455726624,0.13919219388626516,0.0065151415532454845,0.09782608695652174,0.028169014084507043,1.0,0.3125,0.17821782178217824,0.05167958656330749,9,10,83,345,0,22
27,1,1.0235282549491296,0.5944933066001306,4.970463899465708,0.0,0.0,7.0,0.5038089398294687,0.15560074942186475,0.9888889193534851,0.018728960305452347,0.30854701437056065,0.00265448447316885,0.05232558139534884,0.019867549668874173,1.0,0.1875,0.09944751381215469,0.03592814371257485,9,6,163,296,0,26
28,1,0.8184171181458694,0.5675589304703933,4.665900487166184,0.0,0.0,7.0,0.13876629434525967,0.06398510485960288,0.22499999403953552,0.05253259465098381,0.1135087713599205,0.014461438359285239,0.06923076923076923,0.026829268292682926,1.0,0.34375,0.12949640287769784,0.049773755656108594,9,11,121,399,0,21
29,1,0.899447541970473,0.5864191009448125,4.847867012023926,0.0,0.0,7.0,0.41275681741535664,0.11913207453035284,0.7815476059913635,0.04396602883934975,0.22375134602189065,0.014512803038815036,0.0481283422459893,0.021333333333333333,1.0,0.25,0.09183673469387756,0.03931203931203931,9,8,178,367,0,24
30,1,0.8850308381594144,0.5532601934212905,4.591966867446899,0.0,0.0,7.0,0.21116780955344439,0.03875734470784664,0.3955555558204651,0.026780063286423683,0.0732704854104668,0.0042442040052264925,0.05660377358490566,0.025889967637540454,1.0,0.25,0.10714285714285715,0.0469208211143695,9,8,150,301,0,24
31,1,0.9614420579029963,0.5771747988003951,4.8095320371481085,0.0,0.0,7.0,0.008994506672024727,0.002270751865580678,0.0,0.017989013344049454,0.0,0.004541503731161356,0.0,0.041025641025641026,0.0,0.25,0.0,0.07048458149779735,0,8,111,187,9,24
32,1,0.9426021484228281,0.5788850417503943,4.812938873584454,0.0,0.0,7.0,0.4091459009796381,0.19776392429484985,0.7843137383460999,0.033978063613176346,0.3883749049622566,0.007152943627443164,0.08256880733944955,0.0149812734082397,1.0,0.25,0.15254237288135594,0.02826855123674912,9,8,100,526,0,24
33,1,0.9461406056697552,0.5760771036148071,4.793648609748254,0.0,0.0,7.0,0.39629416167736053,0.16906615040497855,0.733808696269989,0.058779627084732056,0.32729615941643714,0.010836141393519938,0.10465116279069768,0.027227722772277228,1.0,0.34375,0.18947368421052632,0.05045871559633027,9,11,77,393,0,21
34,1,0.8414623737335205,0.5583204076840327,4.608134343073918,0.0,0.0,7.0,0.04605204612016678,0.00878638578869868,0.032407406717538834,0.059696685522794724,0.003240740671753883,0.014332030905643478,0.04918032786885246,0.03254437869822485,0.3333333333333333,0.34375,0.0857142857142857,0.059459459459459456,3,11,58,327,6,21
35,1,0.8779840606909531,0.5743861542298243,4.746888197385347,0.0,0.0,7.0,0.3605425450950861,0.09632316069473745,0.6747795939445496,0.046305496245622635,0.18416226878762246,0.008484052601852454,0.06870229007633588,0.034722222222222224,1.0,0.3125,0.1285714285714286,0.0625,9,10,122,278,0,22
36,1,1.0317255671207721,0.5716427564620972,4.8031834822434645,0.0,0.0,7.0,0.46163125336170197,0.13633778949151748,0.8805555701255798,0.0427069365978241,0.2668379720300436,0.005837606952991336,0.07627118644067797,0.04017857142857143,1.0,0.28125,0.14173228346456693,0.0703125,9,9,109,215,0,23
37,1,0.7884342349492587,0.5424140416658841,4.4623224551861105,0.0,0.0,7.0,0.47085827216506004,0.23748677973635496,0.8712522387504578,0.07046430557966232,0.46232397854328156,0.012649580929428339,0.08737864077669903,0.023668639053254437,1.0,0.375,0.16071428571428573,0.04452690166975881,9,12,94,495,0,20
38,1,0.7873928225957431,0.5465633525298192,4.492921572465163,0.0,0.0,7.0,0.49289772287011147,0.2579765827402298,0.9177350401878357,0.06806040555238724,0.49925213903188703,0.01670102644857252,0.09782608695652174,0.01996007984031936,1.0,0.3125,0.17821782178217824,0.0375234521575985,9,10,83,491,0,22
39,1,0.8957542868760916,0.5519843445374415,4.587759678180401,0.0,0.0,7.0,0.4912365283817053,0.2496181315102149,0.9444444179534912,0.03802863880991936,0.4840211795642972,0.015215083456132561,0.1125,0.029411764705882353,1.0,0.3125,0.20224719101123595,0.053763440860215055,9,10,71,330,0,22
40,1,0.825371517584874,0.5480522765563085,4.523077818063589,0.0,0.0,7.0,0.4187400322407484,0.2308965302159777,0.8047138452529907,0.03276621922850609,0.4504202909767628,0.01137276945519261,0.06716417910447761,0.02493765586034913,1.0,0.3125,0.12587412587412586,0.046189376443418015,9,10,125,391,0,22
41,1,0.9189111727934617,0.5501828583387228,4.58582696547875,0.0,0.0,7.0,0.4879244938492775,0.2498807449665037,0.9355089664459229,0.04034002125263214,0.4907990312203765,0.008962458712630905,0.05844155844155844,0.023965141612200435,1.0,0.34375,0.11042944785276072,0.04480651731160896,9,11,145,448,0,21
42,1,0.8014890734965985,0.5471404126057258,4.504297659947322,0.0,0.0,7.0,0.5057345181703568,0.3251181600498967,0.9777777194976807,0.03369131684303284,0.6416401825845242,0.00859613751526922,0.05625,0.025522041763341066,1.0,0.34375,0.10650887573964499,0.047516198704103674,9,11,151,420,0,21
43,1,0.922229005740239,0.5574575570913461,4.642046121450571,0.0,0.0,7.0,0.47347232047468424,0.24199027199065312,0.9166666269302368,0.03027801401913166,0.47509259218350053,0.008887951797805726,0.07317073170731707,0.02493765586034913,1.0,0.3125,0.13636363636363635,0.046189376443418015,9,10,114,391,0,22
44,1,0.7954440529529865,0.5329133295095884,4.394572037916917,0.0,0.0,7.0,0.4811920113861561,0.22877008798677706,0.930555522441864,0.03182850033044815,0.4481481395661831,0.009392036407371051,0.09473684210526316,0.02544529262086514,1.0,0.3125,0.17307692307692307,0.047058823529411764,9,10,86,383,0,22
45,1,0.8750138512024512,0.547132290326632,4.540999082418589,0.0,0.0,7.0,0.5112828742712736,0.29538112220907353,0.9888889193534851,0.03367682918906212,0.5811111245304346,0.009651119887712412,0.10975609756097561,0.02669902912621359,1.0,0.34375,0.1978021978021978,0.04954954954954955,9,11,73,401,0,21
46,1,0.7975763586851267,0.5436235001453986,4.47596445450416,0.0,0.0,7.0,0.5209365859627724,0.31392987741273826,0.9999999403953552,0.041873231530189514,0.6182098587974906,0.00964989602798596,0.1125,0.02857142857142857,1.0,0.34375,0.20224719101123595,0.05275779376498801,9,11,71,374,0,21
47,1,0.73059409398299,0.5167621695078336,4.241013325177706,0.0,0.0,7.0,0.5169141963124275,0.3003398393659154,0.9999999403953552,0.03382845222949982,0.5910493632778525,0.009630315453978255,0.10227272727272728,0.026442307692307692,1.0,0.34375,0.18556701030927836,0.049107142857142856,9,11,79,405,0,21
48,1,0.7914915038989141,0.5454635184544784,4.4867221392118015,0.0,0.0,7.0,0.5167295858263969,0.3357691820594482,0.9999999403953552,0.03345923125743866,0.6621913300827146,0.009347034036181867,0.0967741935483871,0.026066350710900472,1.0,0.34375,0.17647058823529413,0.04845814977973568,9,11,84,411,0,21
49,1,0.9947486703212445,0.5679800281157861,4.757224523104155,0.0,0.0,7.0,0.515510268509388,0.35196869763749417,0.9999999403953552,0.031020596623420715,0.6941357778385282,0.009801617436460219,0.09782608695652174,0.024875621890547265,1.0,0.3125,0.17821782178217824,0.04608294930875576,9,10,83,392,0,22
50,1,0.7991981139549842,0.5251734119195205,4.338399630326491,0.0,0.0,7.0,0.5155062107369304,0.3451877373663592,0.9999999403953552,0.031012481078505516,0.6805555300787092,0.009819944654009306,0.1,0.024752475247524754,1.0,0.3125,0.18181818181818182,0.04587155963302752,9,10,81,394,0,22
