epoch,phase,cls_loss,box_loss,total_loss,map50,map_50_95,ap50_class_0,ap50_class_1,ap50_95_class_0,ap50_95_class_1,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_class_0,f1_class_1,tp_class_0,tp_class_1,fp_class_0,fp_class_1,fn_class_0,fn_class_1
34,1,0.9132371147473654,0.4625031467941072,3.925392124387953,0.08100590435788035,0.02945187293626077,0.15343567728996277,0.00857613142579794,0.05644763559976127,0.00245611027276027,0.018404907975460124,0.012528473804100227,1.0,0.4074074074074074,0.03614457831325302,0.02430939226519337,18,11,960,867,0,16
35,1,0.8400020466910468,0.44366272456116146,3.7474714517593384,0.1693525006994605,0.06938096087687881,0.32207462191581726,0.016630379483103752,0.13474600068293513,0.004015921070822515,0.019271948608137045,0.018028846153846152,1.0,0.5555555555555556,0.03781512605042017,0.034924330616996506,18,15,916,817,0,12
36,1,0.8821210430728065,0.46186492178175187,3.905047403441535,0.09077504463493824,0.0361069389997283,0.1696898490190506,0.011860240250825882,0.06873680767021143,0.00347707032924518,0.01675977653631285,0.011278195488721804,1.0,0.4444444444444444,0.03296703296703297,0.021998166819431716,18,12,1056,1052,0,15
37,1,0.8318964143594106,0.48083506524562836,4.022211233774821,0.109708147123456,0.04863201269909041,0.20183543860912323,0.017580855637788773,0.0933891110937111,0.003874914304469712,0.020293122886133032,0.024955436720142603,1.0,0.5185185185185185,0.03977900552486188,0.04761904761904762,18,14,869,547,0,13
38,1,0.7901922000779046,0.42682113084528184,3.596254587173462,0.15155088156461716,0.057236917658156014,0.23066037893295288,0.07244138419628143,0.10619803683366627,0.008275798482645768,0.034482758620689655,0.02459016393442623,1.0,0.2222222222222222,0.06666666666666667,0.04428044280442805,18,6,504,238,0,21
39,1,0.8267120023568472,0.44884151551458573,3.7796673244900174,0.07652729377150536,0.0328901677930844,0.14319700002670288,0.00985758751630783,0.0635868514480535,0.002193484138115309,0.03991130820399113,0.022857142857142857,1.0,0.2962962962962963,0.0767590618336887,0.042440318302387266,18,8,433,342,0,19
40,1,0.8410841226577759,0.4389061795340644,3.712338368097941,0.2281188447959721,0.08675330376718193,0.4450271427631378,0.0112105468288064,0.17030048854649066,0.0032061189878731964,0.030874785591766724,0.011294526498696786,1.0,0.48148148148148145,0.05990016638935108,0.022071307300509338,18,13,565,1138,0,14
41,1,0.88741045527988,0.44344785975085366,3.7695642047458224,0.17319413926452398,0.09512297411856707,0.33016398549079895,0.016224293038249016,0.18575925782206468,0.004486690415069461,0.023376623376623377,0.015957446808510637,1.0,0.4444444444444444,0.045685279187817264,0.030808729139922976,18,12,752,740,0,15
42,1,0.7793549961513944,0.43100235362847644,3.622195151117113,0.21703610953409225,0.075497263798934,0.43243855237960815,0.0016336666885763407,0.15064298072829843,0.0003515468695695745,0.020689655172413793,0.0026371308016877636,1.0,0.5555555555555556,0.040540540540540536,0.0052493438320209964,18,15,852,5673,0,12
43,1,0.7625788748264313,0.41894548137982685,3.523380544450548,0.19501210749149323,0.07780313242401463,0.319831907749176,0.07019230723381042,0.14198831812827847,0.013617946719750761,0.04488778054862843,0.027247956403269755,1.0,0.37037037037037035,0.08591885441527446,0.050761421319796954,18,10,383,357,0,17
